Shift,Day,Time,Scheduled,Demand,Chef,Ã–L,ST,AT,UL
Shift1,1,07:45-16:30,Yes,4,1,1,1,1,0
Shift2,1,12:00-20:45,Yes,3,0,1,1,1,0
Shift3,1,16:00-08:00,Yes,2,0,1,1,0,0
Shift4,2,07:45-16:30,Yes,5,1,1,2,1,0
Shift5,2,12:00-20:45,Yes,3,0,1,1,1,0
Shift6,2,16:00-08:00,Yes,2,0,1,1,0,0
Shift7,3,07:45-16:30,Yes,5,1,1,2,1,0
Shift8,3,12:00-20:45,Yes,3,0,1,1,1,0
Shift9,3,16:00-08:00,Yes,2,0,1,1,0,0
Shift10,4,07:45-16:30,Yes,4,1,1,1,1,0
Shift11,4,12:00-20:45,Yes,3,0,1,1,1,0
Shift12,4,16:00-08:00,Yes,2,0,1,1,0,0
Shift13,5,07:45-16:30,Yes,5,1,1,2,1,0
Shift14,5,12:00-20:45,Yes,3,0,1,1,1,0
Shift15,5,16:00-08:00,Yes,2,0,1,1,0,0
Shift16,6,07:45-16:30,Yes,3,0,1,1,1,0
Shift17,6,12:00-20:45,Yes,2,0,1,1,0,0
Shift18,6,16:00-08:00,Yes,2,0,1,1,0,0
Shift19,7,07:45-16:30,Yes,3,0,1,1,1,0
Shift20,7,12:00-20:45,Yes,2,0,1,1,0,0
Shift21,7,16:00-08:00,Yes,2,0,1,1,0,0
